timestamp,region,carbon_intensity,solar_cloud_pct,wind_speed,temperature
2025-10-07 23:30:00+00:00,IN-SO,536,36,2.5,26.2
2025-10-07 23:35:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-07 23:40:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-07 23:45:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-07 23:50:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-07 23:55:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-08 00:00:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-08 00:05:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-08 00:10:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-08 00:15:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-08 00:20:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-08 00:25:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-08 00:30:00+00:00,IN-SO,536,50,3.3,26.3
2025-10-08 00:35:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 00:40:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 00:45:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 00:50:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 00:55:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 01:00:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 01:05:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 01:10:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 01:15:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 01:20:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 01:25:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 01:30:00+00:00,IN-SO,520,2,4.1,26.1
2025-10-08 01:35:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 01:40:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 01:45:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 01:50:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 01:55:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 02:00:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 02:05:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 02:10:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 02:15:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 02:20:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 02:25:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 02:30:00+00:00,IN-SO,444,0,5.9,27.2
2025-10-08 02:35:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 02:40:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 02:45:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 02:50:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 02:55:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 03:00:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 03:05:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 03:10:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 03:15:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 03:20:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 03:25:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 03:30:00+00:00,IN-SO,431,0,8.2,28.6
2025-10-08 03:35:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 03:40:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 03:45:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 03:50:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 03:55:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 04:00:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 04:05:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 04:10:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 04:15:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 04:20:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 04:25:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 04:30:00+00:00,IN-SO,430,28,8,29.8
2025-10-08 04:35:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 04:40:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 04:45:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 04:50:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 04:55:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 05:00:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 05:05:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 05:10:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 05:15:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 05:20:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 05:25:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 05:30:00+00:00,IN-SO,426,0,7.8,30.8
2025-10-08 05:35:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 05:40:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 05:45:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 05:50:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 05:55:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 06:00:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 06:05:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 06:10:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 06:15:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 06:20:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 06:25:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 06:30:00+00:00,IN-SO,425,24,9.9,32.8
2025-10-08 06:35:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 06:40:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 06:45:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 06:50:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 06:55:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 07:00:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 07:05:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 07:10:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 07:15:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 07:20:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 07:25:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 07:30:00+00:00,IN-SO,420,29,9,33.5
2025-10-08 07:35:00+00:00,IN-SO,419,0,7.9,33.6
2025-10-08 07:40:00+00:00,IN-SO,419,0,7.9,33.6
